Name,CreekID,Total_m,WBID,CLASS,WBIDLen_m
Gap Creek,MC29,6430.440287,1876,3M,327.980638
Gap Creek,MC29,6430.440287,1899,3F,5350.581685
Gap Creek,MC29,6430.440287,1876A,3M,751.8779636
Sugarhouse Creek,MC30,10121.20626,1848D1,3M,540.5619071
Sugarhouse Creek,MC30,10121.20626,1876,3M,70.27747026
Sugarhouse Creek,MC30,10121.20626,1848D2,3F,958.9592803
Sugarhouse Creek,MC30,10121.20626,1848A,3M,355.9465786
Sugarhouse Creek,MC30,10121.20626,1887,3M,8195.461022
,MC31,1505.288854,1876,3M,1505.288854
Wares Creek,MC32,11436.84366,1848D1,3M,1774.119893
Wares Creek,MC32,11436.84366,1888A,3M,470.1456915
Wares Creek,MC32,11436.84366,1848D2,3F,8699.028097
Wares Creek,MC32,11436.84366,1848A,3M,493.5499748
,MC33,1335.239113,1848A,3M,1335.239113
Wares Creek,MC34,8756.033072,1888A,3M,1180.612775
Wares Creek,MC34,8756.033072,1885A,3M,7575.420297
Palma Sola Creek,MC35,2994.45699,1888B,3M,2994.45699
,MC36,5053.359946,1888A,3M,4858.949518
,MC36,5053.359946,1883,2,194.4104283
,MC37,1412.449205,1888A,3M,1412.449205
Cedar Hammock Creek,MC38,8816.809027,1888A,3M,8816.809027
Bowlees Creek,MC39,23700.32475,1896,3M,13219.64346
Bowlees Creek,MC39,23700.32475,1899,3F,10480.68129
,MC40,2777.806059,1888A,3M,2741.93869
,MC40,2777.806059,1968B,2,35.86736935
,MC41,2360.863505,1888A,3M,2360.863505
,MC42,957.6296844,1888A,3M,957.6296844
,MC43,3517.539609,1868,2,3514.042664
,MC43,3517.539609,1883,2,3.496945604
Williams Creek,MC44,8486.959516,1901,3F,8486.959516
Little Redfish Creek,MC45,431.6753039,1797B,2,431.3177282
Little Redfish Creek,MC45,431.6753039,1558BZ,2,0.35757574
Peterson Creek,MC46,958.2164065,1797A,2,958.2164065
,MC47,661.1679053,1888A,3M,661.1679053
,MC48,790.905147,1888A,3M,772.7498293
,MC48,790.905147,1968B,2,18.15531772
,PC01,8270.345318,1618C,3M,138.9404712
,PC01,8270.345318,1618D,3F,8131.404847
Cross Bayou,PC02,8161.472478,1662,3M,6.446003268
Cross Bayou,PC02,8161.472478,1641,3M,7486.168019
Cross Bayou,PC02,8161.472478,1625,3M,668.8584552
,PC03,5322.18113,1662,3M,2685.909807
,PC03,5322.18113,1662A,3F,2636.271323
Saint Joes Creek,PC04,10306.83471,1668A,3F,1085.320322
Saint Joes Creek,PC04,10306.83471,1668E,3M,4841.857204
Saint Joes Creek,PC04,10306.83471,1668D,3F,2235.185802
Saint Joes Creek,PC04,10306.83471,1641,3M,12.18965088
Saint Joes Creek,PC04,10306.83471,1668B,3F,2132.281728
Bear Creek,PC05,3015.232327,1701A,3F,2221.377721
Bear Creek,PC05,3015.232327,1701B,3M,793.8546052
,PC06,2351.489187,1716B,3F,1810.179365
,PC06,2351.489187,1716D,3M,541.309822
,PC07,2702.221074,1716A,3F,2112.207492
,PC07,2702.221074,1716D,3M,367.750807
,PC07,2702.221074,1716C1,3M,222.2627754
,PC08,2873.682338,1731,3F,1139.930295
,PC08,2873.682338,1731A,3F,17.50611931
,PC08,2873.682338,1716D,3M,325.8514682
,PC08,2873.682338,1716C1,3M,1390.394455
